22:08:23.715 console.table() forward-logs-shared.js:31:1
(index) id fecha batch borrado trucks socio
51 6e0ab275-55c7-489d-b6c2-42f2a8cd9c67 2026-04-12 90db7207-e33c-4ac5-9394-0f0be412dc11 true 2 Fachería
52 6f437645-fed3-48a3-a189-84fa1e672327 2026-04-12 90db7207-e33c-4ac5-9394-0f0be412dc11 true 2 Fachería
53 701bef4a-fc8d-482c-9dd3-0741a3b4f083 2026-04-03 865466ae-d638-4dae-b48a-58ed91385a79 false 2 Malva
54 73835be1-b9c1-4d9c-a7e6-f9ea5e51067c 2026-04-17 3c8690cd-4707-488e-9e18-7447476a8dd3 false 0 Galpon
55 75b89614-a52f-4e06-b149-2cf5710e9a85 2026-04-13 9c69c271-6031-4fcf-9174-cde5fc9be659 true 0 Buboral
56 76889a85-152d-4664-9887-106d1b10e8a5 2026-04-13 9c69c271-6031-4fcf-9174-cde5fc9be659 true 2 Buboral
57 7a097c1d-2450-4200-aa76-ee2bf92e081e 2026-03-16 undefined true 4 Cantimpla
58 7c979857-884a-4c66-a6db-992156305f0e 2026-04-12 0324ffb3-0cb8-455f-b38c-7a059ff66182 true 1 Galpon
59 7e1d957d-01a0-47c4-84e6-cdcf274e29e6 2026-03-30 82fe513d-1e4e-4f7a-8144-df71c5eb4d24 true 6 Dogey
60 7f01e827-c3f2-4868-b46e-fb1633e427cc 2026-03-30 0b4858b9-6a79-4760-9786-f05065930132 true 3 Galpon
61 869d8824-5135-4b34-aa95-ed0c471ccac5 2026-04-04 ae002b94-799c-4b2f-bb79-b6cd05743255 true 1 Fachería
62 87b75a7f-aff9-4730-b449-05028e7b1946 2026-04-10 77819317-a335-4376-8758-3710e0a7ff31 true 3 Galpon
63 9068a8b7-c181-44f3-8634-5e1f214a4b9a 2026-03-17 undefined true 4 Carnerito
64 91741d04-6b8e-42a8-a98c-0b8d3b5989f7 2026-03-17 undefined true 4 Carnerito
65 98dc6b59-6c04-4487-8a39-ad52b8a72923 2026-03-17 undefined true 4 Galpon
